text,label,text_minimal,text_no_punctuation,text_stopwords,text_stemming
"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",neutral,"when the omx market forwards mature on may 16 , 2008 , novator finland oy 's direct shareholding in amer sports corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",when the omx market forwards mature on may 16 2008 novator finland oy s direct shareholding in amer sports corporation will exceed one fifth 1 5 of the company s shares and voting rights,omx market forwards mature 16 2008 novator finland oy s direct shareholding amer sports corporation exceed fifth 1 5 company s shares voting rights,omx market forward matur 16 2008 novat finland oy s direct sharehold amer sport corpor exceed fifth 1 5 compani s share vote right
"To prove the efficiency of the China Mobile system , Rod Baber , an English climber , climbed to the Mount Everest summit and successfully made calls .",positive,"to prove the efficiency of the china mobile system , rod baber , an english climber , climbed to the mount everest summit and successfully made calls .",to prove the efficiency of the china mobile system rod baber an english climber climbed to the mount everest summit and successfully made calls,prove efficiency china mobile rod baber english climber climbed mount everest summit successfully calls,prove effici china mobil rod baber english climber climb mount everest summit success call
"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .",neutral,"`` these tests are part of a larger campaign which includes various customer trials and demonstrations to make lte on 800 mhz commercially viable by this summer , '' nokia siemens head of lte business line , reino tammela , said .",`` these tests are part of a larger campaign which includes various customer trials and demonstrations to make lte on 800 mhz commercially viable by this summer '' nokia siemens head of lte business line reino tammela said,`` tests larger campaign includes various customer trials demonstrations make lte 800 mhz commercially viable summer '' nokia siemens head lte business line reino tammela said,`` test larger campaign includ variou custom trial demonstr make lte 800 mhz commerci viabl summer '' nokia siemen head lte busi line reino tammela said
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive,"finnish ahlstrom corporation will double its investments in a new specialty glassfiber reinforcement plant in south carolina , in the us .",finnish ahlstrom corporation will double its investments in a new specialty glassfiber reinforcement plant in south carolina in the us,finnish ahlstrom corporation double investments new specialty glassfiber reinforcement plant south carolina,finnish ahlstrom corpor doubl invest new specialti glassfib reinforc plant south carolina
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral,"helsinki on october 22 , 2008 ssh communications security corp board of directors for further information , please contact : tomi laamanen , chairman , tel. +358 0 400 609 544 distribution : nasdaq omx helsinki ltd. .",helsinki on october 22 2008 ssh communications security corp board of directors for further information please contact tomi laamanen chairman tel 358 0 400 609 544 distribution nasdaq omx helsinki ltd,helsinki october 22 2008 ssh communications security corp board directors information contact tomi laamanen chairman tel 358 0 400 609 544 distribution nasdaq omx helsinki,helsinki octob 22 2008 ssh commun secur corp board director inform contact tomi laamanen chairman tel 358 0 400 609 544 distribut nasdaq omx helsinki
Patrizia adds the acquisition to a portfolio already worth EUR3bn .,neutral,patrizia adds the acquisition to a portfolio already worth eur3bn .,patrizia adds the acquisition to a portfolio already worth eur3bn,patrizia adds acquisition portfolio worth eur3bn,patrizia add acquisit portfolio worth eur3bn
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,positive,sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,sales rose to 300 9 mln eur compared with last year s 276 1 mln eur and in line with 299 mln eur consensus figure,sales rose 300 9 mln eur compared year s 276 1 mln eur line 299 mln eur consensus figure,sale rose 300 9 mln eur compar year s 276 1 mln eur line 299 mln eur consensu figur
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,positive,the contract was signed in august with papua new guinea-based lihir gold ltd asx : lgl .,the contract was signed in august with papua new guinea based lihir gold ltd asx lgl,contract signed august papua new guinea based lihir gold asx lgl,contract sign august papua new guinea base lihir gold asx lgl
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",neutral,"the offer of some 30 million shares aimed to raise more than x20ac 500 million us$ 640 million , was expected to be completed by oct. 9 , outokumpu said .",the offer of some 30 million shares aimed to raise more than x20ac 500 million us 640 million was expected to be completed by oct 9 outokumpu said,offer 30 million shares aimed raise x20ac 500 million 640 million expected completed oct 9 outokumpu said,offer 30 million share aim rais x20ac 500 million 640 million expect complet oct 9 outokumpu said
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",positive,"`` our extensive co-operation will also bolster sysopen digia 's position in the domestic operator market , '' kallioranta adds .",`` our extensive co operation will also bolster sysopen digia s position in the domestic operator market '' kallioranta adds,`` extensive operation bolster sysopen digia s position domestic operator market '' kallioranta adds,`` extens oper bolster sysopen digia s posit domest oper market '' kallioranta add
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,"`` with this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",`` with this agreement we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation,`` agreement continue good cooperationand time release capital tied up ourmachinery operation,`` agreement continu good cooperationand time releas capit tie up ourmachineri oper
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive,"theodosopoulos said tellabs could be of value to nokia siemens or nortel given its `` leading supply status '' with verizon , along with high-growth products .",theodosopoulos said tellabs could be of value to nokia siemens or nortel given its `` leading supply status '' with verizon along with high growth products,theodosopoulos said tellabs value nokia siemens nortel given `` leading supply status '' verizon high growth products,theodosopoulo said tellab valu nokia siemen nortel given `` lead suppli statu '' verizon high growth product
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,"we succeeded in increasing our market share of sold apartment '' , comments mr kari kauniskangas , head of yit international construction services .",we succeeded in increasing our market share of sold apartment '' comments mr kari kauniskangas head of yit international construction services,succeeded increasing market share sold apartment '' comments mr kari kauniskangas head yit international construction services,succeed increas market share sold apart '' comment mr kari kauniskanga head yit intern construct servic
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,"with capman as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says christopher wynne , ceo of papa john 's russia .",with capman as a partner we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers '' says christopher wynne ceo of papa john s russia,capman partner able develop business continue focus providing quality restaurant services customers '' says christopher wynne ceo papa john s russia,capman partner abl develop busi continu focu provid qualiti restaur servic custom '' say christoph wynn ceo papa john s russia
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,"finnish suominen corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of eur 44.1 mn in the second quarter of 2010 , up from eur 43.3 mn in the second quarter of 2009 .",finnish suominen corporation that specialises in wet wipes nonwovens and flexible packaging reports net sales of eur 44 1 mn in the second quarter of 2010 up from eur 43 3 mn in the second quarter of 2009,finnish suominen corporation specialises wet wipes nonwovens flexible packaging reports net sales eur 44 1 mn second quarter 2010 up eur 43 3 mn second quarter 2009,finnish suominen corpor specialis wet wipe nonwoven flexibl packag report net sale eur 44 1 mn second quarter 2010 up eur 43 3 mn second quarter 2009
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",positive,"finnish telecoms software developer tecnomen oyj said on december 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of brasil telecom .",finnish telecoms software developer tecnomen oyj said on december 5 2006 it won a 3 3 mln 2 5 mln euro order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of brasil telecom,finnish telecoms software developer tecnomen oyj said december 5 2006 won 3 3 mln 2 5 mln euro order supply expansion charging messaging systems mobile fixed networks brasil telecom,finnish telecom softwar develop tecnomen oyj said decemb 5 2006 won 3 3 mln 2 5 mln euro order suppli expans charg messag system mobil fix network brasil telecom
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,increased trust of our clients in yit can be seen as apartment sales accelerated .,increased trust of our clients in yit can be seen as apartment sales accelerated,increased trust clients yit seen apartment sales accelerated,increas trust client yit seen apart sale acceler
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,"( adp news ) - dec 11 , 2008 - finnish construction and engineering company outotec oyj ( omx : ote1v ) said today it won a eur 28 million ( usd 36.8 m ) order to expand the phosphate concentrator in siilinjarvi of norwegian minera",adp news dec 11 2008 finnish construction and engineering company outotec oyj omx ote1v said today it won a eur 28 million usd 36 8 m order to expand the phosphate concentrator in siilinjarvi of norwegian minera,adp news dec 11 2008 finnish construction engineering company outotec oyj omx ote1v said today won eur 28 million usd 36 8 m order expand phosphate concentrator siilinjarvi norwegian minera,adp news dec 11 2008 finnish construct engin compani outotec oyj omx ote1v said today won eur 28 million usd 36 8 m order expand phosphat concentr siilinjarvi norwegian minera
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",positive,"mr priit kasak , balti metsamasina 's owner , said the rakvere-based company wishes to increase valmet 's market share from 27 % to a third in a couple of years .",mr priit kasak balti metsamasina s owner said the rakvere based company wishes to increase valmet s market share from 27 to a third in a couple of years,mr priit kasak balti metsamasina s owner said rakvere based company wishes increase valmet s market share 27 couple years,mr priit kasak balti metsamasina s owner said rakver base compani wish increas valmet s market share 27 coupl year
"Ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently .",neutral,"ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently .",ponsse plans to create a network that is based on strong partnership and participates in the production of larger entities than presently,ponsse plans create network based strong partnership participates production larger entities presently,ponss plan creat network base strong partnership particip product larger entiti present
The bank sees a potential for Getinge share to rise .,positive,the bank sees a potential for getinge share to rise .,the bank sees a potential for getinge share to rise,bank sees potential getinge share rise,bank see potenti geting share rise
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive,"the company recorded revenues of e658 .1 million during the fiscal year ended december 2007 , an increase of 23 % over 2006 .",the company recorded revenues of e658 1 million during the fiscal year ended december 2007 an increase of 23 over 2006,company recorded revenues e658 1 million fiscal year ended december 2007 increase 23 2006,compani record revenu e658 1 million fiscal year end decemb 2007 increas 23 2006
The cooperation will double The Switch 's converter capacity .,positive,the cooperation will double the switch 's converter capacity .,the cooperation will double the switch s converter capacity,cooperation double switch s converter capacity,cooper doubl switch s convert capac
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,the robust growth was the result of the inclusion of clothing chain lindex in the group in december 2007 .,the robust growth was the result of the inclusion of clothing chain lindex in the group in december 2007,robust growth result inclusion clothing chain lindex group december 2007,robust growth result inclus cloth chain lindex group decemb 2007
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",the six breweries recorded a 5 2 percent growth in domestic beer sales last year to 270 21 million liters from 256 88 million liters sold in 2005,breweries recorded 5 2 percent growth domestic beer sales year 270 21 million liters 256 88 million liters sold 2005,breweri record 5 2 percent growth domest beer sale year 270 21 million liter 256 88 million liter sold 2005
"This truly takes efficiency to new heights , '' Mr. Metso adds .",positive,"this truly takes efficiency to new heights , '' mr. metso adds .",this truly takes efficiency to new heights '' mr metso adds,truly takes efficiency new heights '' mr metso adds,truli take effici new height '' mr metso add
We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',positive,we hope to increase traffic volumes with the opening of freight one scandinavia . '',we hope to increase traffic volumes with the opening of freight one scandinavia '',hope increase traffic volumes opening freight scandinavia '',hope increas traffic volum open freight scandinavia ''
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive,"a january 11 , 2010 ephc board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",a january 11 2010 ephc board of directors has approved an increase in the quarterly dividend from 0 03 to 0 05 per share,january 11 2010 ephc board directors approved increase quarterly dividend 0 03 0 05 share,januari 11 2010 ephc board director approv increas quarterli dividend 0 03 0 05 share
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive,"finnish cargotec 's kalmar , the business area providing container handling solutions , has been awarded an order for a further ten e-one rubber-tyred gantry rtg cranes from saigon newport company snp , in vietnam .",finnish cargotec s kalmar the business area providing container handling solutions has been awarded an order for a further ten e one rubber tyred gantry rtg cranes from saigon newport company snp in vietnam,finnish cargotec s kalmar business area providing container handling solutions awarded order e rubber tyred gantry rtg cranes saigon newport company snp vietnam,finnish cargotec s kalmar busi area provid contain handl solut award order e rubber tyre gantri rtg crane saigon newport compani snp vietnam
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive,"bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",bilfinger investors cheered the agreement pushing shares up 7 or euro 3 30 to euro 50 29 in afternoon trade,bilfinger investors cheered agreement pushing shares up 7 euro 3 30 euro 50 29 afternoon trade,bilfing investor cheer agreement push share up 7 euro 3 30 euro 50 29 afternoon trade
"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",positive,"kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",kesko pursues a strategy of healthy focused growth concentrating on sales and services to consumer customers,kesko pursues strategy healthy focused growth concentrating sales services consumer customers,kesko pursu strategi healthi focus growth concentr sale servic consum custom
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive,"london afx - shares in rautaruukki corp have been upgraded to ` hold ' from ` sell ' by abn amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",london afx shares in rautaruukki corp have been upgraded to hold from sell by abn amro with the price target raised to 25 75 eur from 14 5 said dealers,london afx shares rautaruukki corp upgraded hold sell abn amro price target raised 25 75 eur 14 5 said dealers,london afx share rautaruukki corp upgrad hold sell abn amro price target rais 25 75 eur 14 5 said dealer
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,london marketwatch -- nokia nok said it 's won a five-year services contract to run hutchison essar 's network operations in nine locations in india .,london marketwatch -- nokia nok said it s won a five year services contract to run hutchison essar s network operations in nine locations in india,london marketwatch -- nokia nok said s won year services contract run hutchison essar s network operations locations india,london marketwatch -- nokia nok said s won year servic contract run hutchison essar s network oper locat india
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive,"progress group , qpr 's representative in saudi arabia and north africa , has signed a framework agreement for a long term strategic relationship with ise .",progress group qpr s representative in saudi arabia and north africa has signed a framework agreement for a long term strategic relationship with ise,progress group qpr s representative saudi arabia north africa signed framework agreement long term strategic relationship ise,progress group qpr s repres saudi arabia north africa sign framework agreement long term strateg relationship ise
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive,"ragutis , controlled by the finnish brewery olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",ragutis controlled by the finnish brewery olvi achieved a 5 7 percent rise in beer sales to 22 6 million liters and held a 10 75 percent market share,ragutis controlled finnish brewery olvi achieved 5 7 percent rise beer sales 22 6 million liters held 10 75 percent market share,raguti control finnish breweri olvi achiev 5 7 percent rise beer sale 22 6 million liter held 10 75 percent market share
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"the 250 sq m 2,691 sq ft store in copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in nordic capitals .",the 250 sq m 2 691 sq ft store in copenhagen s premier shopping district was inaugurated today further strengthening the company s presence in nordic capitals,250 sq m 2 691 sq ft store copenhagen s premier shopping district inaugurated today strengthening company s presence nordic capitals,250 sq m 2 691 sq ft store copenhagen s premier shop district inaugur today strengthen compani s presenc nordic capit
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,"the metal has gained 41 percent this year as demand from china , the world 's largest user , increased .",the metal has gained 41 percent this year as demand from china the world s largest user increased,metal gained 41 percent year demand china world s largest user increased,metal gain 41 percent year demand china world s largest user increas
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",positive,"in addition , cramo and peab have signed exclusive five-year rental agreements in finland and have extended their existing rental agreements in the swedish market for another five years .",in addition cramo and peab have signed exclusive five year rental agreements in finland and have extended their existing rental agreements in the swedish market for another five years,addition cramo peab signed exclusive year rental agreements finland extended existing rental agreements swedish market years,addit cramo peab sign exclus year rental agreement finland extend exist rental agreement swedish market year
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",positive,"outotec oyj press release december 4 , 2009 10.30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market .",outotec oyj press release december 4 2009 10 30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market,outotec oyj press release december 4 2009 10 30 outotec establishes new subsidiary kolkata outotec established subsidiary india order better serve indian customers increase business growing indian market,outotec oyj press releas decemb 4 2009 10 30 outotec establish new subsidiari kolkata outotec establish subsidiari india order better serv indian custom increas busi grow indian market
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,it is also 7.7 pct above the 12-month volume weighted average price of the stock .,it is also 7 7 pct above the 12 month volume weighted average price of the stock,7 7 pct 12 month volume weighted average price stock,7 7 pct 12 month volum weight averag price stock
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive,"mobile phone shipments jumped 26 percent to almost 112 million units , while finnish company 's global market share rose to 39 percent from 36 percent .",mobile phone shipments jumped 26 percent to almost 112 million units while finnish company s global market share rose to 39 percent from 36 percent,mobile phone shipments jumped 26 percent 112 million units finnish company s global market share rose 39 percent 36 percent,mobil phone shipment jump 26 percent 112 million unit finnish compani s global market share rose 39 percent 36 percent
"On January 29 , 2009 The largest Nordic bank Nordea and Finnish retail chain Stockmann launched a regionally unique cooperation project : they are the first to introduce a common MasterCard credit card enabling payments in different states and stores .",neutral,"on january 29 , 2009 the largest nordic bank nordea and finnish retail chain stockmann launched a regionally unique cooperation project : they are the first to introduce a common mastercard credit card enabling payments in different states and stores .",on january 29 2009 the largest nordic bank nordea and finnish retail chain stockmann launched a regionally unique cooperation project they are the first to introduce a common mastercard credit card enabling payments in different states and stores,january 29 2009 largest nordic bank nordea finnish retail chain stockmann launched regionally unique cooperation project introduce common mastercard credit card enabling payments different states stores,januari 29 2009 largest nordic bank nordea finnish retail chain stockmann launch region uniqu cooper project introduc common mastercard credit card enabl payment differ state store
"QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities .",neutral,"qpr has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities .",qpr has an established international customer base spread over 70 countries in 2009 and a variety of organizations including banks manufacturing companies service companies and government authorities,qpr established international customer base spread 70 countries 2009 variety organizations including banks manufacturing companies service companies government authorities,qpr establish intern custom base spread 70 countri 2009 varieti organ includ bank manufactur compani servic compani govern author
"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries",positive,"selects third party logistics leader transplace for best-in-class technology , procurement capabilities ; leading specialty packaging manufacturer employs complete 3pl solution for supply chain visibility and transportation efficiency to increase service levels and on-time deliveries",selects third party logistics leader transplace for best in class technology procurement capabilities leading specialty packaging manufacturer employs complete 3pl solution for supply chain visibility and transportation efficiency to increase service levels and on time deliveries,selects party logistics leader transplace best class technology procurement capabilities leading specialty packaging manufacturer employs complete 3pl solution supply chain visibility transportation efficiency increase service levels time deliveries,select parti logist leader transplac best class technolog procur capabl lead specialti packag manufactur employ complet 3pl solut suppli chain visibl transport effici increas servic level time deliveri
4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,positive,4g allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3g .,4g allows customers to use mobile broadband services with speeds up to ten times higher than with today s 3g,4g allows customers use mobile broadband services speeds up times higher today s 3g,4g allow custom use mobil broadband servic speed up time higher today s 3g
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral,"according to eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",according to eijkens a publisher can do much more than just publish colourful books a publisher can provide value added to information by individualising it,according eijkens publisher just publish colourful books publisher provide value added information individualising,accord eijken publish just publish colour book publish provid valu ad inform individualis
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",positive,"based on strong customer interest and feedback , using rpm mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , tulonen continues .",based on strong customer interest and feedback using rpm mobile phone manufacturers operators enterprises and developer forums can significantly increase their product and service quality user experience and cost efficiency '' tulonen continues,based strong customer feedback using rpm mobile phone manufacturers operators enterprises developer forums significantly increase product service quality user experience cost efficiency '' tulonen continues,base strong custom feedback use rpm mobil phone manufactur oper enterpris develop forum significantli increas product servic qualiti user experi cost effici '' tulonen continu
Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,neutral,cameco is to provide an upfront investment of up to usd 60mn for the construction of the uranium extraction circuit .,cameco is to provide an upfront investment of up to usd 60mn for the construction of the uranium extraction circuit,cameco provide upfront investment up usd 60mn construction uranium extraction circuit,cameco provid upfront invest up usd 60mn construct uranium extract circuit
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral,"cdp was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",cdp was established on the initiative of institutional investors however the annually published results also interest an increasing number of customers and other interest groups of the reporting companies,cdp established initiative institutional investors annually published results increasing number customers groups reporting companies,cdp establish initi institut investor annual publish result increas number custom group report compani
The original contract was signed last summer .,neutral,the original contract was signed last summer .,the original contract was signed last summer,original contract signed summer,origin contract sign summer
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"` it is a testament to the quality of our lte solution and our commitment to the japanese market ' , he added .",it is a testament to the quality of our lte solution and our commitment to the japanese market he added,testament quality lte solution commitment japanese market added,testament qualiti lte solut commit japanes market ad
`` Ixonos has a rich heritage in developing leadership experiences in the smartphone segment .,positive,`` ixonos has a rich heritage in developing leadership experiences in the smartphone segment .,`` ixonos has a rich heritage in developing leadership experiences in the smartphone segment,`` ixonos rich heritage developing leadership experiences smartphone segment,`` ixono rich heritag develop leadership experi smartphon segment
`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,positive,`` the acquisition of elektros pavara completes kone 's market expansion strategy in the baltic countries .,`` the acquisition of elektros pavara completes kone s market expansion strategy in the baltic countries,`` acquisition elektros pavara completes kone s market expansion strategy baltic countries,`` acquisit elektro pavara complet kone s market expans strategi baltic countri
18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive,18 january 2010 - finnish it consultancy trainers ' house oyj hel : trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,18 january 2010 finnish it consultancy trainers house oyj hel trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure,18 january 2010 finnish consultancy trainers house oyj hel trh1v said friday resolved issue eur5m hybrid bond domestic investors bid strengthen capital structure,18 januari 2010 finnish consult trainer hous oyj hel trh1v said friday resolv issu eur5m hybrid bond domest investor bid strengthen capit structur
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,"alexandria , va. , oct. 15 -- aaron moss of hampshire , great britain , has developed an ornamental design for a handset , the u.s. patent & trademark office announced .",alexandria va oct 15 -- aaron moss of hampshire great britain has developed an ornamental design for a handset the u s patent trademark office announced,alexandria va oct 15 -- aaron moss hampshire great britain developed ornamental design handset u s patent trademark office announced,alexandria va oct 15 -- aaron moss hampshir great britain develop ornament design handset u s patent trademark offic announc
hybrid bond 18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,neutral,hybrid bond 18 january 2010 - finnish it consultancy trainers ' house oyj hel : trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,hybrid bond 18 january 2010 finnish it consultancy trainers house oyj hel trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure,hybrid bond 18 january 2010 finnish consultancy trainers house oyj hel trh1v said friday resolved issue eur5m hybrid bond domestic investors bid strengthen capital structure,hybrid bond 18 januari 2010 finnish consult trainer hous oyj hel trh1v said friday resolv issu eur5m hybrid bond domest investor bid strengthen capit structur
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive,"repair and maintenance business accounted for net sales of eur 645.3 mn , up from eur 563.6 mn .",repair and maintenance business accounted for net sales of eur 645 3 mn up from eur 563 6 mn,repair maintenance business accounted net sales eur 645 3 mn up eur 563 6 mn,repair mainten busi account net sale eur 645 3 mn up eur 563 6 mn
"The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says .",positive,"the money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in russia , '' the release says .",the money will be spent `` on strengthening the company s competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in russia '' the release says,money spent `` strengthening company s competitiveness sphere sawmill products increasing volume wood delivered processing russia '' release says,money spent `` strengthen compani s competit sphere sawmil product increas volum wood deliv process russia '' releas say
The new technology improves the glass quality and consistency while increasing throughput .,positive,the new technology improves the glass quality and consistency while increasing throughput .,the new technology improves the glass quality and consistency while increasing throughput,new technology improves glass quality consistency increasing throughput,new technolog improv glass qualiti consist increas throughput
